iter	Passed	Remaining
399	26023	104092
400	26047	103866
401	26079	103668
402	26104	103446
403	26130	103226
404	26155	103009
405	26181	102791
406	26209	102583
407	26233	102362
408	26258	102143
409	26286	101939
410	26310	101722
411	26336	101511
412	26362	101302
413	26386	101085
414	26412	100877
415	26436	100662
416	26461	100451
417	26490	100259
418	26516	100055
419	26542	99849
420	26569	99651
421	26594	99444
422	26620	99244
423	26645	99042
424	26670	98836
425	26695	98634
426	26721	98437
427	26758	98281
428	26782	98078
429	26812	97896
430	26845	97728
431	26883	97575
432	26917	97414
433	26947	97235
434	26977	97057
435	27010	96889
436	27045	96733
437	27078	96567
438	27104	96380
439	27135	96209
440	27165	96035
441	27193	95855
442	27222	95679
443	27251	95501
444	27278	95322
445	27307	95146
446	27335	94970
447	27363	94793
448	27389	94613
449	27417	94437
450	27446	94266
451	27471	94083
452	27498	93907
453	27526	93734
454	27554	93565
455	27581	93388
456	27608	93216
457	27634	93039
458	27658	92858
459	27681	92672
460	27707	92497
461	27731	92318
462	27756	92141
463	27782	91968
464	27809	91801
465	27832	91621
466	27855	91440
467	27879	91264
468	27903	91088
469	27926	90910
470	27952	90740
471	27976	90568
472	28002	90401
473	28030	90241
474	28061	90091
475	28087	89927
476	28113	89763
477	28140	89603
478	28167	89442
479	28191	89274
480	28213	89099
481	28234	88922
482	28257	88750
483	28279	88577
484	28303	88411
485	28327	88247
486	28352	88085
487	28376	87919
488	28399	87754
489	28423	87591
490	28447	87429
491	28471	87265
492	28497	87110
493	28523	86956
494	28543	86785
495	28567	86623
496	28590	86461
497	28612	86297
498	28635	86136
499	28659	85977
500	28682	85819
501	28705	85658
502	28730	85505
503	28754	85349
504	28777	85193
505	28802	85040
506	28826	84886
507	28848	84727
508	28870	84570
509	28897	84425
510	28922	84277
511	28945	84124
512	28967	83964
513	28989	83811
514	29014	83664
515	29038	83513
516	29063	83367
517	29087	83220
518	29115	83081
519	29139	82936
520	29161	82782
521	29184	82634
522	29207	82483
523	29228	82330
524	29250	82179
525	29270	82023
526	29292	81874
527	29312	81720
528	29334	81569
529	29353	81413
530	29372	81259
531	29395	81114
532	29415	80962
533	29437	80815
534	29457	80663
535	29479	80518
536	29501	80374
537	29524	80231
538	29545	80083
539	29568	79945
540	29591	79804
541	29612	79658
542	29632	79511
543	29653	79366
544	29673	79221
545	29694	79077
546	29716	78936
547	29739	78798
548	29761	78658
549	29783	78520
550	29805	78380
551	29824	78235
552	29845	78096
553	29868	77958
554	29887	77816
555	29907	77673
556	29929	77537
557	29951	77400
558	29973	77267
559	29996	77133
560	30016	76994
561	30038	76859
562	30059	76723
563	30079	76585
564	30102	76454
565	30123	76320
566	30145	76188
567	30167	76055
568	30187	75920
569	30208	75786
570	30229	75652
571	30250	75520
572	30270	75385
573	30292	75255
574	30313	75125
575	30336	74997
576	30357	74868
577	30379	74739
578	30400	74610
579	30421	74480
580	30443	74353
581	30465	74228
582	30488	74102
583	30510	73976
584	30531	73849
585	30551	73720
586	30574	73597
587	30596	73473
588	30619	73352
589	30640	73226
590	30661	73100
591	30682	72975
592	30704	72851
593	30725	72727
594	30746	72604
595	30768	72480
596	30789	72358
597	30810	72235
598	30833	72116
599	30855	71996
600	30876	71872
601	30897	71753
602	30921	71636
603	30945	71523
604	30975	71423
605	30996	71302
606	31019	71186
607	31039	71063
608	31061	70945
609	31083	70830
610	31108	70720
611	31132	70608
612	31154	70490
613	31176	70375
614	31200	70263
615	31223	70152
616	31250	70047
617	31273	69935
618	31295	69821
619	31323	69720
620	31350	69618
621	31374	69509
622	31396	69394
623	31422	69291
624	31446	69182
625	31472	69079
626	31500	68980
627	31524	68871
628	31546	68759
629	31570	68652
630	31591	68539
631	31613	68428
632	31638	68324
633	31660	68215
634	31684	68108
635	31707	68002
636	31732	67899
637	31757	67796
638	31780	67689
639	31805	67587
640	31829	67483
641	31851	67374
642	31875	67270
643	31896	67161
644	31920	67057
645	31948	66963
646	31972	66861
647	31994	66753
648	32016	66647
649	32040	66544
650	32060	66435
651	32085	66335
652	32109	66235
653	32133	66133
654	32156	66031
655	32181	65932
656	32204	65829
657	32226	65726
658	32246	65619
659	32269	65515
660	32292	65416
661	32314	65313
662	32337	65211
663	32360	65111
664	32380	65005
665	32402	64903
666	32426	64804
667	32458	64722
668	32490	64640
669	32550	64614
670	32580	64530
671	32606	64437
672	32628	64336
673	32661	64256
674	32683	64155
675	32707	64060
676	32731	63965
677	32774	63905
678	32809	63830
679	32839	63747
680	32868	63660
681	32896	63573
682	32937	63512
683	32975	63443
684	33007	63365
685	33036	63280
686	33060	63185
687	33083	63089
688	33108	62996
689	33131	62902
690	33154	62806
691	33179	62714
692	33202	62620
693	33226	62526
694	33250	62435
695	33274	62341
696	33298	62249
697	33322	62156
698	33345	62063
699	33368	61969
700	33392	61878
701	33415	61785
702	33439	61694
703	33463	61603
704	33488	61513
705	33518	61433
706	33542	61343
707	33564	61249
708	33587	61158
709	33609	61064
710	33634	60976
711	33655	60882
712	33679	60793
713	33704	60705
714	33727	60614
715	33749	60522
716	33774	60435
717	33796	60344
718	33821	60258
719	33845	60169
720	33869	60082
721	33894	59996
722	33920	59911
723	33946	59827
724	33972	59745
725	33999	59663
726	34024	59578
727	34049	59493
728	34073	59406
729	34095	59316
730	34120	59232
731	34143	59144
732	34165	59055
733	34188	58967
734	34210	58879
735	34232	58791
736	34257	58706
737	34278	58616
738	34299	58526
739	34320	58438
740	34341	58347
741	34361	58257
742	34380	58165
743	34401	58075
744	34422	57986
745	34445	57901
746	34467	57815
747	34487	57724
748	34519	57656
749	34540	57566
750	34560	57478
751	34583	57393
752	34604	57306
753	34624	57218
754	34646	57132
755	34667	57045
756	34689	56961
757	34713	56879
758	34734	56792
759	34757	56710
760	34782	56630
761	34806	56548
762	34829	56466
763	34854	56387
764	34881	56312
765	34905	56231
766	34929	56150
767	34953	56071
768	34980	55995
769	35013	55930
770	35039	55853
771	35063	55774
772	35084	55690
773	35105	55606
774	35126	55521
775	35147	55438
776	35170	55357
777	35190	55273
778	35212	55192
779	35234	55111
780	35256	55028
781	35279	54949
782	35300	54867
783	35321	54784
784	35341	54700
785	35364	54621
786	35387	54542
787	35409	54463
788	35431	54382
789	35451	54298
790	35471	54216
791	35493	54136
792	35516	54058
793	35538	53978
794	35560	53899
795	35581	53819
796	35603	53740
797	35625	53661
798	35647	53582
799	35668	53502
800	35688	53420
801	35710	53342
802	35731	53263
803	35752	53184
804	35776	53108
805	35799	53032
806	35822	52957
807	35846	52882
808	35871	52809
809	35894	52734
810	35923	52666
811	35946	52591
812	35969	52516
813	35996	52447
814	36021	52374
815	36043	52298
816	36067	52224
817	36091	52151
818	36117	52082
819	36141	52009
820	36162	51931
821	36186	51859
822	36211	51787
823	36235	51714
824	36260	51644
825	36285	51573
826	36309	51501
827	36335	51431
828	36360	51361
829	36386	51292
830	36412	51222
831	36436	51150
832	36461	51080
833	36487	51012
834	36512	50942
835	36539	50875
836	36562	50803
837	36588	50734
838	36614	50666
839	36638	50595
840	36662	50525
841	36688	50457
842	36713	50388
843	36740	50322
844	36766	50255
845	36792	50187
846	36819	50121
847	36845	50054
848	36869	49983
849	36891	49911
850	36914	49841
851	36937	49770
852	36964	49705
853	36987	49634
854	37012	49566
855	37036	49496
856	37058	49426
857	37082	49356
858	37104	49285
859	37125	49213
860	37146	49140
861	37167	49068
862	37188	48995
863	37208	48922
864	37229	48850
865	37251	48779
866	37274	48710
867	37296	48640
868	37319	48570
869	37342	48501
870	37362	48429
871	37384	48359
872	37405	48288
873	37426	48217
874	37447	48146
875	37469	48076
876	37489	48005
877	37510	47934
878	37531	47864
879	37553	47794
880	37580	47732
881	37605	47667
882	37628	47599
883	37650	47531
884	37671	47462
885	37695	47395
886	37718	47329
887	37742	47262
888	37763	47193
889	37787	47128
890	37812	47064
891	37835	46997
892	37860	46932
893	37883	46866
894	37906	46800
895	37931	46737
896	37954	46670
897	37974	46601
898	37996	46534
899	38017	46465
900	38037	46396
901	38059	46329
902	38078	46259
903	38099	46191
904	38121	46124
905	38142	46056
906	38162	45988
907	38182	45920
908	38203	45852
909	38222	45783
910	38243	45715
911	38264	45648
912	38289	45587
913	38311	45521
914	38340	45463
915	38359	45395
916	38379	45327
917	38401	45261
918	38422	45195
919	38442	45127
920	38462	45061
921	38483	44995
922	38504	44928
923	38525	44863
924	38546	44797
925	38568	44732
926	38590	44668
927	38611	44603
928	38632	44537
929	38653	44471
930	38674	44406
931	38699	44346
932	38719	44281
933	38740	44215
934	38760	44149
935	38781	44084
936	38805	44023
937	38827	43960
938	38847	43895
939	38868	43830
940	38888	43764
941	38910	43702
942	38931	43637
943	38952	43574
944	38972	43508
945	38994	43446
946	39014	43381
947	39035	43318
948	39055	43253
949	39076	43189
950	39099	43128
951	39123	43068
952	39147	43008
953	39167	42944
954	39188	42881
955	39210	42819
956	39232	42757
957	39253	42695
958	39273	42631
959	39295	42569
960	39317	42509
961	39337	42445
962	39358	42382
963	39378	42319
964	39398	42256
965	39419	42194
966	39440	42132
967	39462	42072
968	39484	42010
969	39503	41947
970	39523	41884
971	39544	41823
972	39565	41760
973	39586	41700
974	39608	41639
975	39629	41578
976	39651	41518
977	39672	41457
978	39693	41396
979	39713	41333
980	39734	41273
981	39754	41211
982	39774	41150
983	39797	41091
984	39820	41033
985	39841	40972
986	39862	40913
987	39882	40851
988	39901	40789
989	39923	40730
990	39944	40670
991	39966	40610
